OpenTelemetryについてどの程度ご存知ですか？,OpenTelemetryで収集するテレメトリーシグナルはどれですか？（該当するものをすべて選択してください）,どのコレクターディストリビューションを使用していますか？（該当するものすべてを選択してください）,仕事でどのプログラミング言語を使用していますか？（該当するものをすべて選択してください）,同僚にOpenTelemetryを推薦する可能性はどのくらいありますか？,OpenTelemetryを使用しない主な理由は何ですか？（該当するものをすべて選択してください） ,過去3年間、どのようなITコミュニティイベントに参加しましたか？（該当するものをすべて選択してください）,どのような形式のイベントが好きですか？,テクノロジー全般に関する情報は、普段どこから得ていますか？（該当するものをすべて選択してください）,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？
テスト中／評価中,"メトリクス, ログ, トレース, プロファイル",使っていない,"Go, Javascript/Typescript",8,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,"ログ, トレース",使っていない,Scala,6,,"カンファレンス, ハンズオンワークショップ",対面イベント,"公式ドキュメント, GitHub, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 書籍",いいえ
聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,"カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",コアコレクター,Go,5,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"Twitter/X, 同僚／職場のコミュニティ",いいえ
本番環境で使っている,トレース,Contribコレクター,"Go, Java, Javascript/Typescript, Python",7,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きではない,"公式ドキュメント, GitHub, ブログ, Twitter/X, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,トレース,コアコレクター,"Java, Python",7,,"カンファレンス, ハンズオンワークショップ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, 技術カンファレンス／ミートアップ",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Java, Javascript/Typescript, PHP, Python",10,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",はい
本番環境で使っている,メトリクス,Contribコレクター,"Go, Java, Python",9,,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Python",8,,"カンファレンス, 技術ディーブダイブ",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, LinkedIn, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Perl, PHP, Python, Ruby",9,,"カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",はい
本番環境で使っている,"メトリクス, ログ, トレース","コアコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Python",7,,カンファレンス,対面イベント,"ブログ, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, Bluesky",いいえ
本番環境で使っている,トレース,aws adot,"Go, PHP, Ruby",8,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"GitHub, ブログ, Twitter/X, Qiita, Zenn, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース",Grafana Alloy,"Go, Javascript/Typescript, Rust",9,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
本番環境で使っている,"メトリクス, ログ, トレース, プロファイル",コアコレクター,"Javascript/Typescript, Ruby",10,,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
テスト中／評価中,"メトリクス, ログ, トレース",Contribコレクター,"Go, Java, Rust",8,,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
,,,,,,,,,
聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,"初心者向けチュートリアル, 技術ディーブダイブ",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",いいえ
聞いたことはあるけど、使ったことはない,,,,,既に他のオブザーバビリティソリューションを使っているため,カンファレンス,バーチャル（オンライン）イベント,"公式ドキュメント, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 書籍",いいえ
